Time	Step	Training loss	Validation loss	Full Validation loss
05:36:16	1812	2.8121	3.3299	2.7379
05:35:37	1811	0.8030	-	-
05:35:35	1810	3.7861	-	-
05:35:35	1809	3.0927	-	-
05:35:33	1808	3.4724	-	-
05:35:31	1807	2.6693	-	-
05:35:29	1806	3.3004	-	-
05:35:27	1805	2.7245	-	-
05:35:27	1804	2.5582	-	-
05:35:25	1803	3.4500	-	-
05:35:23	1802	2.7457	-	-
05:35:07	1801	3.2460	-	-
05:35:04	1800	3.3090	2.1710	-
05:34:56	1799	2.9613	-	-
05:34:54	1798	3.1011	-	-
05:34:52	1797	2.7549	-	-
05:34:52	1796	1.9764	-	-
05:34:50	1795	3.3382	-	-
05:34:48	1794	2.2016	-	-
05:34:46	1793	1.4459	-	-
05:34:44	1792	2.8817	-	-
05:34:44	1791	3.1843	-	-
05:34:42	1790	2.5509	-	-
05:34:40	1789	2.8329	-	-
05:34:38	1788	1.3212	-	-
05:34:36	1787	0.9117	-	-
05:34:34	1786	1.8497	-	-
05:34:34	1785	1.9764	-	-
05:34:32	1784	3.0223	-	-
05:34:30	1783	3.0967	-	-
05:34:28	1782	3.5815	-	-
05:34:26	1781	2.4977	-	-
05:34:26	1780	3.9280	-	-
05:34:24	1779	1.2408	-	-
05:34:22	1778	3.4104	-	-
05:34:20	1777	1.3663	-	-
05:34:18	1776	2.4466	-	-
05:34:18	1775	2.0362	-	-
05:34:16	1774	0.9164	-	-
05:34:14	1773	0.7122	-	-
05:34:12	1772	2.1655	-	-
05:34:10	1771	0.8671	-	-
05:34:10	1770	2.1706	-	-
05:34:08	1769	1.9550	-	-
05:34:05	1768	3.9808	-	-
05:34:03	1767	1.8630	-	-
05:34:01	1766	3.4660	-	-
05:33:59	1765	2.0825	-	-
05:33:59	1764	1.0321	-	-
05:33:57	1763	2.0032	-	-
05:33:55	1762	1.9386	-	-
05:33:53	1761	1.5423	-	-
05:33:51	1760	0.9131	-	-
05:33:51	1759	3.3681	-	-
